,exercise
854,Hammer Row
855,Single Leg Glute Bridge
856,Banded Single Leg Good Morning
857,Lying Cable Lateral Raise
858,Smith Machine Lunge
859,Side Crunches
860,One Arm Cable Preacher Curl
861,Pullovers 
862,Dumbbell Standing Calf Raise
863,Shoulders - 2 Exercises
864,Handstand Pushup
865,Bodyweight Dips
866,Inside Leg Raises
867,Dumbbell Rear Delt Lateral Raise
868,Side Lateral Raise*
869,1B: Weighted Medium-Grip Pull-Ups
870,DB Row
871,Lying Cable Curl
872,Wall Push Up
873,Seated One Arm Dumbbell Extrension
874,Push Ups (2/3/1 Tempo)
875,Reverse Grip Lat Pulldown
876,Chin Extension Press
877,Landmine Press
878,Shoulder Width Pull Ups or Inverted Rows
879,Standing Cable Overhead Extension
880,Vertical Pull
881,Cable Rope High Pull
882,Fast Run
883,Tricep Extension
884,Good Morning with Leg Resistance
885,Cross Body Hammer Curl
886,Hanging Leg Raises
887,Kettlebell Press
888,Incline Dumbbell Chest Press 
889,One Arm Lateral Raise
890,Hurdle Hops
891,Seated Curl
892,Inverted Rows
893,Stepped Toe Raise
894,Cable Biceps Curl
895,Single Arm Band Standing Flys
896,35% of 1RM
897,Incline Dumbbell Shrug
898,Single Leg Hip Thrust
899,Reverse Hyper
900,Reverse Pec Deck
901,Hanging Straight Leg Raise
902,Dumbbell Lunge (per leg)
903,Standing Glute Kickback
904,Heels Elevated Barbell Squat
905,Plyo Pushups
906,Band Shrug
907,Lying Bench Leg Raise
908,Wide Grip Bent Over Row
909,Stiff
910,Seated Cable Row or Machine Row
911,Seated Leg Curl or Romanian Deadlift
912,Incline DB Flys
913,Dumbbell Single Leg Deadlift
914,Leg Press (70-90 secs rest between sets)
915,Elevated Push Up
916,Cross Body Curl
917,"Skull Crushers/Pressdowns (choose 1, rotate weekly)"
918,Dumbbell Stiff Leg Deadlift - Muscle
919,Reverse Lunge
920,Underhand Lat Pulldown
921,Dumbell 1
922,Abdominal Air Bike (25 reps per leg)
923,Upright EZ Bar Row
924,Barbell Tricep Ext on Floor
925,Week 1
926,Straight Arm Lat Pulldowns
927,Dual Rope Overhead Extension
928,Standing Overhead Dumbbell Press
929,Glute Bridge or 
930,Chin
931,"Tricep Pushdown, (hands 8-10"" apart)"
932,Treadmill Warm Up
933,Squat
934,Weighted Twisting Sit Up
935,Crunches on a Flex Ball
