,exercise
588,lat pull down  warmup 85
589,standing side bend
590,incline press or military press
591,military press  bench press alternate
592,cable curls
593,weighted medium
594,glute ham raise rest 4560 seconds between sets
595,superset stepup and single leg calf raise
596,cable tricep extensions wrope 45 secs rest between sets
597,superset  bench press
598,hammer concentration curls
599,rope triceps extension
600,weighted glute bridge
601,single arm overhead kettlebell walking lunge
602,romanian deadlift
603,rear foot elevated bulgarian split squat
604,heavy stone clean  put
605,rack pull deadlift
606,cable shrug
607,box squats
608,single leg side leg press
609,seated overhead ez bar tricep extension
610,incline db fly
611,wide grip seated cable row
612,alternating shoulder press
613,run
614,reverse hyper
615,dumbbell flat press
616,resistance band lat pull down
617,band seated concentration curl hold contractions 4 seconds
618,medicine ball roll outs from knees
619,squat straight sets
620,treadmill incline jog
621,v bar pull down
622,barbell front raise 
623,bench press  start with 90 and add 5lbs to each set
624,triceps dip
625,wide grip behind the neck pull up
626,front delt raise
627,flat bench dumbbell flys
628,one arm cable curl pump
629,neutral grip machine chest press
630,ez bar extension
631,walking dumbbell lunges
632,superset dumbbell bench press  two arm dumbbell row
633,bulgarian split squat 
634,bent over reverse cable flye 
635,incline smith press
636,machine shoulder press
637,incline db flys
638,hip abduction machine
639,halfkneeling cable wood chop
640,stomach vacuum
641,bench press see instructions
642,resistance band row
643,back squat
644,machine rear delt laterals
645,trx biceps curls
646,close grip dumbbell press on the floor
647,oblique crunches each side
648,decline board crunches
649,dumbbell bench press or incline dumbbell bench press
650,russian twists abs 3
651,deadlift  warmup 80
652,dumbbell lateral squat
653,band pallof press
654,shoulder width reverse grip pull up
655,superset  pec dec
656,kettlebell side raise
657,depth pushup
658,overhead extension
659,close grip lat pulldown from floor
660,cable side laterals
661,horizontal cable biceps curl
662,lateral raise with resistance
663,closegrip barbell curl
664,standing dumbbell side lateral
665,sprint
666,farmers walk
667,crosshook combo
668,standing dumbbell lateral raise
669,ghr sit up
670,v
671,burpees
672,dumbbell bench press
673,seated hamstring curl
674,triceps extensions behind head
675,glute cable kickbacks
676,ez bar preacher curls
677,push up or push up w elevated feet
678,dead stop barbell row
679,weighted pull ups
680,incline or flat bench dumbbell press
681,landmine romanian deadlift
682,weighted rope crunch
683,side plank w
684,dumbbell side raise
685,dips or cable extension
686,cable crossover or pec dec
687,renegade rows 3
688,standing cable chest fly
689,bent lateral raise
690,neutral grip dumbbell lateral raise 
691,dumbbell rows on bench
692,seated press behind the neck
693,hanging knee raises knees to elbows
694,wide grip pull down
695,bodyweight hip thrust
696,seated band leg curl
697,dumbbell flye
698,wide grip bench press
699,inverted rows
700,bodyweight squats
701,hack squats  up to 7 plates per side
702,tricep cable overhead extension
703,volume quad set
704,superset  arnold dumbbell press
705,dumbbell lunges superset
706,barbell stiff leg deadlift
707,leg press be creative 
708,half sits
709,walk outs to shoulder taps
710,resistance band chest press
711,machine shoulder leg press
712,squat ramped sets
713,superset  smith machine bench press
714,renegade row
715,knee raise
716,alternating front raise
717,sit up
718,side bend
719,dumbbell shrugs restpause
720,tate press
721,bench press 
722,sit up stand up
723,dumbbell tricep overhead extension
724,cable reverse curl
725,cable rope triceps press
726,bent over dumbbell side raise
727,one leg dumbbell calf raise
728,kettlebell sumo squats
729,sit ups
730,glute ham raise  muscle
731,cable triceps press
732,pull up or lat pull down
733,front squat warmup
734,crunches
735,bulgarian split squat reps are per leg
736,shoulder dislocates
737,push
738,chest supported rows
739,shotgun row
740,split stance cable chop 
741,dumbbell kickbacks
742,stiffleg deadlift
743,standing one arm cable row 
744,weighted dips wchains
745,alternating dumbbell curls
746,kettlebell suitcase deadlift
747,deficit deadlift
748,high pulley single arm bicep curl
749,decline weighted sit up
750,oneleg calf raise
751,rope pushdowns
752,serrano misdirection curls
753,reverse lunge with front kick
754,bent over lateral raise
755,dumbbell hip thrust
756,ez bar close grip bench
757,barbell hang clean
758,high cable rope pulls
759,3 way shoulders
760,superset  seated cable rows
761,single arm snatch  week 2
762,"combo 3
left leg roundhousecrossleft hook"
763,seated reverse machine fly
764,decline push up
765,lying cable tricep extension
766,front raises
767,barbell drag curl
768,wide grip upright row
769,standing overhead press use 20 less weight than your previous working sets
770,superset  cable tricep extensions
771,lateral plank
772,alternating standing dumbbell press
773,flat db press
774,strict barbell curl
775,dumbbell calf raise
776,kettlebell upright row
777,alternating forward db lunge
778,zercher squat sumo stance
779,single arm machine lateral raise
780,close stance goodmorning
781,arm circles clockwise
782,hack squat or dumbbell lunges
783,standing alternating dumbbell curls  warmup 80
784,preacher dumbbell curls
785,hand stand push ups
786,forearm wrist curls
787,seated bent over rear delt fly
788,standing kettlebell press
789,lying knee tucks
790,shelc
791,glute ham raises
792,seated cable row  narrow grip
793,mediumgrip pullup or dumbbell row
794,cambered bar curllying tricep extension
795,pullup
796,single arm incline dumbbell chest press 
797,incline barbell bench press 
798,superset  stiff leg deadlift
799,cabledumbbelltbar rows choose 1 per week rotate
800,dumbbell row or closegrip pullup
801,med ball wall slam
802,tall kneeling belly press 
803,bentover barbell row
804,single arm dumbbell row
805,upright rows or seated arnold press
806,rope t
807,seated leg curl dagger
808,deadlift 
809,treadmill warm up
810,standing machine calf raise
811,walkouts from feet
812,closegrip pushup
813,alternating plyo lunge
814,parallel squats  week 1
815,waiter carries
816,dumbbell shrug seated
817,supported rows on incline bench
818,supine tricep extension w
819,squats  5lbs over monday
820,standing barbell curl
821,plank jacks
822,parallel dip and barbell curl
823,straight arm pullovers
824,single dumbbell front raise
825,stability alternates from knees
826,rocking ankle mobilization 
827,banded hip abduction
828,barbell deep squat
829,leg kickbacks
830,valslide body saws
831,sumo deadlift
832,weighted dip
833,smith machine close grip bench press
834,wide grip bent over row
835,standing cable lift 
836,full body activation flow
837,ground to overhead with plate
838,weighted pullups
839,side medicine ball throw
840,front squat work sets
841,one arm dumbbell rows
842,standing cable overhead extension
843,heavy dumbbell row
844,seated barbell press behind neck
845,60 of 1rm
846,arnold press
847,cable tricep extension
848,dip
849,crunch machine
850,a2 widegrip pullup
851,cable curls 
852,standing alternating dumbbell curls  working sets
853,front split squat 
